Issue id	Summary
67878	Samigo: Feedback should be interpreted when printing PDF report from a submission with global variables on feedback
67877	SAMIGO: Error when print PDF Report  if the feedback contains global variables: Unknown character : '@' (or 64)
67876	Microsoft Integration: Visual and logical improvements
67875	LTI1.3-Assignments stacktrace when trying to add an assignment: java.lang.NullPointerException: null
67861	Rubrics: Unable to delete a rubric
67853	Frequent webcomponents build failures during npm install
67806	Samigo TA should only see assessments that are assigned to the entire site or those assessments that belong to the groups they are a part of
67772	Samigo TA should only see groups they are a member of when grading an assessment
67733	Rubrics: Hover text does not change for rubric and rating without re-opening the page
67714	Make grading service items hideable from the gradebook ui. This will enable tools to use the grading service for grade storage without showing it in the gradebook tool.
67422	Assignments: Grader distorts group assignment scores with overrides
67353	Lessons-LTI: Adding a Learning App or an External Tool to Lessons does not open in a new page
67227	Assignments: Grades entered in Gradebook not displayed in Assignments
67151	Attendance > Add > Create Repeating Pattern
67084	Assignments: Grader PDF viewer includes annotation
66982	Contributions from UPV to Sakai Master (Umbrella)
66949	"Announcements: Merged announcements do not display on user Home tools, Bullhorns, or in course Dashboard (22x & 21x)"
66943	Rubrics: Students can’t view rubric comments when rubric is in modal window
66895	Rubrics-Grader-Assignment: There is a remove {} link when grading rubrics in assignments - {} braces should not show and there shouldn't even be a remove link when not graded
66826	Roster Card Game: Count not updating for the number of correct guesses
66681	Search: File names are not searchable
66639	T&Q: Various UI display improvements
66551	"LTI: When removing the score, any comment added does not get removed from the gradebook"
66455	"Sakai Github: Enhance Sakai Readme with Detailed Installation Steps for Mac, Windows, and Linux Systems"
66411	Portal/Site Info: Restore Lessons subpage navigation
66320	SAMIGO: No bar is present for incorrect answers and The bar present for correct answer is purple in color rather than green
66264	Portal: Linked Graphics on Accessibility Information Page are not Screen Reader Friendly
66249	Track and Implement the LTI Course Groups Service
66169	Removing  criterion from a rubric/rating from a criterion creates orphans in database
66060	Gradebook> Extra credit items do not display in course grade
65853	assignment submission issue
65827	Update Apache FreeMarker 2.3.32
65779	getPost: Unable to find post with id
65658	Rubrics: Unable to remove a moved Criterion Group without refreshing page
65566	Best design/localization for PA System
65333	Date Picker missing scroll bars
65158	Membership: Membership help link sends user to the incorrect help page
65062	CkEditor in sakaicontrib/bbb_tool not working with sakai 20
64966	Calendar: Warn when subscribe on Merge External Calendars
64925	Webcomponents fails lit linting in various places. Custom element tags haven't been closed and too many inline event handlers are in use.
64881	Update webcomponents to lit 2
64617	webapi :: site info :: edit class rosters :: sui-table compatible api
64601	send submissions data from assignments to sui-table
64034	Fix library build errors
63827	sui-table webcomponent
