Issue_id_Summary,Issue id,Summary,clean_summary,cluster
67878	Samigo: Feedback should be interpreted when printing PDF report from a submission with global variables on feedback,67878,Samigo: Feedback should be interpreted when printing PDF report from a submission with global variables on feedback,samigo feedback interpreted printing pdf report submission global variable feedback,20
67877	SAMIGO: Error when print PDF Report  if the feedback contains global variables: Unknown character : '@' (or 64),67877,SAMIGO: Error when print PDF Report  if the feedback contains global variables: Unknown character : '@' (or 64),samigo error print pdf report feedback contains global variable unknown character,20
67876	Microsoft Integration: Visual and logical improvements,67876,Microsoft Integration: Visual and logical improvements,microsoft integration visual logical improvement,10
67875	LTI1.3-Assignments stacktrace when trying to add an assignment: java.lang.NullPointerException: null,67875,LTI1.3-Assignments stacktrace when trying to add an assignment: java.lang.NullPointerException: null,lti assignment stacktrace trying add assignment java lang nullpointerexception null,6
67861	Rubrics: Unable to delete a rubric,67861,Rubrics: Unable to delete a rubric,rubric unable delete rubric,17
67853	Frequent webcomponents build failures during npm install,67853,Frequent webcomponents build failures during npm install,frequent webcomponents build failure npm install,10
67806	Samigo TA should only see assessments that are assigned to the entire site or those assessments that belong to the groups they are a part of,67806,Samigo TA should only see assessments that are assigned to the entire site or those assessments that belong to the groups they are a part of,samigo ta see assessment assigned entire site assessment belong group part,7
67772	Samigo TA should only see groups they are a member of when grading an assessment,67772,Samigo TA should only see groups they are a member of when grading an assessment,samigo ta see group member grading assessment,7
67733	Rubrics: Hover text does not change for rubric and rating without re-opening the page,67733,Rubrics: Hover text does not change for rubric and rating without re-opening the page,rubric hover text change rubric rating without opening page,17
67714	Make grading service items hideable from the gradebook ui. This will enable tools to use the grading service for grade storage without showing it in the gradebook tool.,67714,Make grading service items hideable from the gradebook ui. This will enable tools to use the grading service for grade storage without showing it in the gradebook tool.,make grading service item hideable gradebook ui enable tool use grading service grade storage without showing gradebook tool,2
67422	Assignments: Grader distorts group assignment scores with overrides,67422,Assignments: Grader distorts group assignment scores with overrides,assignment grader distorts group assignment score override,6
67353	Lessons-LTI: Adding a Learning App or an External Tool to Lessons does not open in a new page,67353,Lessons-LTI: Adding a Learning App or an External Tool to Lessons does not open in a new page,lesson lti adding learning app external tool lesson open new page,1
67227	Assignments: Grades entered in Gradebook not displayed in Assignments,67227,Assignments: Grades entered in Gradebook not displayed in Assignments,assignment grade entered gradebook displayed assignment,6
67151	Attendance > Add > Create Repeating Pattern,67151,Attendance > Add > Create Repeating Pattern,attendance add create repeating pattern,14
67084	Assignments: Grader PDF viewer includes annotation,67084,Assignments: Grader PDF viewer includes annotation,assignment grader pdf viewer includes annotation,6
66982	Contributions from UPV to Sakai Master (Umbrella),66982,Contributions from UPV to Sakai Master (Umbrella),contribution upv sakai master umbrella,10
66943	Rubrics: Students can’t view rubric comments when rubric is in modal window,66943,Rubrics: Students can’t view rubric comments when rubric is in modal window,rubric student view rubric comment rubric modal window,17
66895	Rubrics-Grader-Assignment: There is a remove {} link when grading rubrics in assignments - {} braces should not show and there shouldn't even be a remove link when not graded,66895,Rubrics-Grader-Assignment: There is a remove {} link when grading rubrics in assignments - {} braces should not show and there shouldn't even be a remove link when not graded,rubric grader assignment remove link grading rubric assignment brace show even remove link graded,17
66826	Roster Card Game: Count not updating for the number of correct guesses,66826,Roster Card Game: Count not updating for the number of correct guesses,roster card game count updating number correct guess,10
66681	Search: File names are not searchable,66681,Search: File names are not searchable,search file name searchable,5
66639	T&Q: Various UI display improvements,66639,T&Q: Various UI display improvements,q various ui display improvement,10
66411	Portal/Site Info: Restore Lessons subpage navigation,66411,Portal/Site Info: Restore Lessons subpage navigation,portal site info restore lesson subpage navigation,1
66320	SAMIGO: No bar is present for incorrect answers and The bar present for correct answer is purple in color rather than green,66320,SAMIGO: No bar is present for incorrect answers and The bar present for correct answer is purple in color rather than green,samigo bar present incorrect answer bar present correct answer purple color rather green,10
66264	Portal: Linked Graphics on Accessibility Information Page are not Screen Reader Friendly,66264,Portal: Linked Graphics on Accessibility Information Page are not Screen Reader Friendly,portal linked graphic accessibility information page screen reader friendly,0
66249	Track and Implement the LTI Course Groups Service,66249,Track and Implement the LTI Course Groups Service,track implement lti course group service,7
66169	Removing  criterion from a rubric/rating from a criterion creates orphans in database,66169,Removing  criterion from a rubric/rating from a criterion creates orphans in database,removing criterion rubric rating criterion creates orphan database,17
66060	Gradebook> Extra credit items do not display in course grade,66060,Gradebook> Extra credit items do not display in course grade,gradebook extra credit item display course grade,2
65853	assignment submission issue,65853,assignment submission issue,assignment submission issue,17
65827	Update Apache FreeMarker 2.3.32,65827,Update Apache FreeMarker 2.3.32,update apache freemarker,9
